equipment_id,timestamp,value_ISO,value_DEMO,value_ACC,value_P2P,valueTEMP,efficiency_score,efficiency_normalized,vibration_severity,seal_condition_score,temp_above_threshold,iso_roll_mean_30d,iso_roll_std_30d,temp_roll_mean_30d,iso_roll_mean_7d,vibration_roll_mean_7d,health_index,rul_days,is_anomaly,operating_speed_rpm,load_percent,operating_mode
PUMP-001,2022-12-07 12:33:41,0.349609405,0.000343323,0.012512208,0.042480472,24.25,1018.3075025340495,0.8142025409258681,0.013213676780090083,0.6356279839929163,False,0.349609405,,24.25,0.349609405,0.013213676780090083,,1825.0,False,,,
PUMP-002,2022-12-07 12:33:41,0.275390625,0.00023365,0.009887695,0.033447266,25.0,1178.6409003171398,0.9429860582646736,0.010438089309915516,0.6356279839929163,False,0.275390625,,25.0,0.275390625,0.010438089309915516,,900.9233479004257,False,,,
PUMP-002,2022-12-07 12:33:46,0.275390625,0.00023365,0.009887695,0.033447266,25.0,1178.6409003171398,0.9429860582646736,0.010438089309915516,0.6356279839929163,False,0.275390625,0.0,25.0,0.275390625,0.010438089309915516,0.8470066398839132,900.9233479004257,False,,,
PUMP-001,2022-12-07 12:33:46,0.349609405,0.000343323,0.012512208,0.042480472,24.25,1018.3075025340495,0.8142025409258681,0.013213676780090083,0.6356279839929163,False,0.349609405,0.0,24.25,0.349609405,0.013213676780090083,0.789942058008042,1825.0,False,,,
PUMP-001,2022-12-07 12:33:51,0.349609405,0.000343323,0.012512208,0.042480472,24.25,1018.3075025340495,0.8142025409258681,0.013213676780090083,0.6356279839929163,False,0.349609405,0.0,24.25,0.349609405,0.013213676780090083,0.789942058008042,1825.0,False,,,
PUMP-002,2022-12-07 12:33:51,0.275390625,0.00023365,0.009887695,0.033447266,25.0,1178.6409003171398,0.9429860582646736,0.010438089309915516,0.6356279839929163,False,0.275390625,0.0,25.0,0.275390625,0.010438089309915516,0.8470066398839132,900.9233479004257,False,,,
PUMP-001,2022-12-07 12:33:56,0.349609405,0.000343323,0.012512208,0.042480472,24.25,1018.3075025340495,0.8142025409258681,0.013213676780090083,0.6356279839929163,False,0.349609405,0.0,24.25,0.349609405,0.013213676780090083,0.789942058008042,1825.0,False,,,
PUMP-002,2022-12-07 12:33:56,0.279296875,0.00023365,0.009887695,0.033447266,25.0,1195.359210959936,0.9564145945416561,0.010438089309915516,0.6356279839929163,False,0.2763671875,0.001953125,25.0,0.2763671875,0.010438089309915516,0.8523389918947063,900.9233479004257,False,,,
PUMP-001,2022-12-07 12:34:01,0.349609405,0.000343323,0.012512208,0.042480472,24.25,1018.3075025340495,0.8142025409258681,0.013213676780090083,0.6356279839929163,False,0.349609405,0.0,24.25,0.349609405,0.013213676780090083,0.789942058008042,1825.0,False,,,
PUMP-002,2022-12-07 12:34:01,0.279296875,0.00023365,0.009887695,0.033447266,25.0,1195.359210959936,0.9564145945416561,0.010438089309915516,0.6356279839929163,False,0.276953125,0.0021395412402545515,25.0,0.276953125,0.010438089309915516,0.8523352635699012,900.9233479004257,False,,,
PUMP-002,2022-12-07 12:34:06,0.279296875,0.00023365,0.009887695,0.033447266,25.0,1195.359210959936,0.9564145945416561,0.010438089309915516,0.6356279839929163,False,0.27734375,0.00213954124025455,25.0,0.27734375,0.010438089309915516,0.8523352635699012,900.9233479004257,False,,,
PUMP-001,2022-12-07 12:34:06,0.349609405,0.000343323,0.012512208,0.042480472,24.25,1018.3075025340495,0.8142025409258681,0.013213676780090083,0.6356279839929163,False,0.349609405,0.0,24.25,0.349609405,0.013213676780090083,0.789942058008042,1825.0,False,,,
PUMP-002,2022-12-07 12:34:11,0.279296875,0.00023365,0.009887695,0.033447266,25.0,1195.359210959936,0.9564145945416561,0.010438089309915516,0.6356279839929163,False,0.27762276785714285,0.0020879784524408117,25.0,0.27762276785714285,0.010438089309915516,0.8523362948256574,900.9233479004257,False,,,
