start_sample,window_length,rms,peak,peak_to_peak,kurtosis,crest_factor,fault_type,load,source_file
0,2048,0.1346015676339848,0.4817825948103792,0.9344893013972057,2.901971768844384,3.5793238019105886,B007,0,B007_0_features
2048,2048,0.1397956522489914,0.5090716966067864,1.0036866666666666,3.078723439663376,3.641541696135387,B007,0,B007_0_features
4096,2048,0.1335874243804039,0.432239880239521,0.8474240718562874,2.602794869651753,3.235633011423573,B007,0,B007_0_features
6144,2048,0.1400449033024872,0.5204421556886227,0.977209740518962,3.097465559921639,3.71625202640033,B007,0,B007_0_features
8192,2048,0.1414071467483132,0.4876302594810379,0.917758483033932,2.86481331694826,3.448413115537289,B007,0,B007_0_features
10240,2048,0.1439013159560478,0.5258025149700598,1.0384477844311375,3.1218324045265646,3.653910400145356,B007,0,B007_0_features
12288,2048,0.1391141315378419,0.475447624750499,0.9073626347305388,2.9601468131275364,3.4176802851818806,B007,0,B007_0_features
14336,2048,0.1342374982368211,0.4564427145708583,0.8664289820359281,3.004967353092128,3.400262374990064,B007,0,B007_0_features
16384,2048,0.1287224315254035,0.4655390818363273,0.92961624750499,2.881676421132708,3.616611932480751,B007,0,B007_0_features
18432,2048,0.1415175748908361,0.5579646706586827,1.070122634730539,3.0382214011756044,3.942723517451051,B007,0,B007_0_features
20480,2048,0.1335646717255421,0.4736608383233533,0.8716269061876247,2.859965529792997,3.546303316591964,B007,0,B007_0_features
22528,2048,0.1386918060625895,0.445721996007984,0.8714644710578843,2.898473356718521,3.213758683073335,B007,0,B007_0_features
24576,2048,0.1360557237357344,0.4819450299401198,0.8760126546906188,2.7979753180167832,3.5422620725069627,B007,0,B007_0_features
26624,2048,0.1485298739104752,0.5157315369261477,0.9437481037924152,2.8387816240161667,3.4722411279600696,B007,0,B007_0_features
28672,2048,0.1403715313441808,0.5670610379241517,0.9997882235528942,2.984137719757632,4.039715407319448,B007,0,B007_0_features
30720,2048,0.1381024327148727,0.5193051097804391,0.9754229540918165,3.121728622810048,3.7602893704909577,B007,0,B007_0_features
32768,2048,0.1410900120499461,0.5920760479041917,1.0158693013972058,3.081831519434069,4.196441968481788,B007,0,B007_0_features
34816,2048,0.1352014138687464,0.4954271457085829,0.9578799600798404,3.122297862472668,3.6643636447905754,B007,0,B007_0_features
36864,2048,0.1427358711969291,0.4492955688622754,0.856358003992016,2.7723821124318526,3.14774110454159,B007,0,B007_0_features
38912,2048,0.1357662148420748,0.4756100598802395,0.9279918962075848,3.03022113096818,3.503154746046156,B007,0,B007_0_features
40960,2048,0.1424812798415461,0.4642396007984031,0.9078499401197604,2.762826564398796,3.2582497947198887,B007,0,B007_0_features
