start_sample,window_length,rms,peak,peak_to_peak,kurtosis,crest_factor,source_file
0,2048,0.0669247792783564,0.2042344615384615,0.4030449230769231,2.8222695982882944,3.051701682660005,Time_Normal_1_098_features
2048,2048,0.0637142288507204,0.2044430769230769,0.4017932307692308,2.9868057641803967,3.2087507077715576,Time_Normal_1_098_features
4096,2048,0.0639724337502397,0.2113273846153845,0.3915710769230769,2.808854867556917,3.3034132394765936,Time_Normal_1_098_features
6144,2048,0.0652795249007508,0.2008966153846154,0.3976209230769231,3.1092272570030373,3.0774828047075315,Time_Normal_1_098_features
8192,2048,0.064786862267186,0.2278079999999999,0.4393439999999999,2.9709417401132683,3.516268453579153,Time_Normal_1_098_features
10240,2048,0.0670496669607709,0.2123704615384615,0.4159790769230769,2.8841891591801576,3.16736042342383,Time_Normal_1_098_features
12288,2048,0.0628857629784533,0.2115359999999999,0.3873987692307692,3.140250897506938,3.363813842397287,Time_Normal_1_098_features
14336,2048,0.0674525711878712,0.210492923076923,0.4105550769230769,2.849228455820552,3.120606366324125,Time_Normal_1_098_features
16384,2048,0.0664134313554895,0.1848332307692307,0.3625735384615385,2.650922454755392,2.783070035594088,Time_Normal_1_098_features
18432,2048,0.0679886013633756,0.2234270769230769,0.4201513846153846,2.898203474442728,3.286243170758139,Time_Normal_1_098_features
20480,2048,0.0638686205381354,0.196932923076923,0.3755076923076922,2.6595392598758885,3.083406552616123,Time_Normal_1_098_features
22528,2048,0.0660659203186814,0.2211323076923076,0.424740923076923,2.887054172180488,3.347146405019216,Time_Normal_1_098_features
24576,2048,0.065426082617756,0.2384473846153846,0.4345458461538461,3.068242161925629,3.644530974058773,Time_Normal_1_098_features
26624,2048,0.0684270562318797,0.2230098461538461,0.4082603076923077,2.8462958473737032,3.259088706006441,Time_Normal_1_098_features
28672,2048,0.06609400640265,0.1902572307692307,0.3700836923076923,2.635450465104707,2.8785852321811087,Time_Normal_1_098_features
30720,2048,0.0647607845113886,0.2019396923076923,0.3926141538461538,2.821639182519822,3.1182403645691115,Time_Normal_1_098_features
32768,2048,0.0636845700516452,0.2513815384615384,0.4297476923076923,3.243031359613048,3.947291129605373,Time_Normal_1_098_features
34816,2048,0.0637621958040142,0.2271821538461538,0.4316252307692307,3.072485487567381,3.562960010675926,Time_Normal_1_098_features
36864,2048,0.0696585091391357,0.2271821538461538,0.4220289230769231,2.866961332212235,3.2613697400430923,Time_Normal_1_098_features
38912,2048,0.0650826410356856,0.232188923076923,0.4182738461538461,2.9271920750556064,3.5676014276378725,Time_Normal_1_098_features
40960,2048,0.0651911609495296,0.1900486153846153,0.371544,2.8555942860405144,2.915251279676301,Time_Normal_1_098_features
43008,2048,0.0674751475090014,0.2323975384615384,0.4314166153846154,2.8857067895417523,3.44419459664155,Time_Normal_1_098_features
45056,2048,0.0681493456554736,0.2121618461538461,0.3876073846153846,2.76468346882076,3.113189776220431,Time_Normal_1_098_features
47104,2048,0.0646641405683192,0.2042344615384615,0.3961606153846154,2.8526764968995004,3.1583882464118496,Time_Normal_1_098_features
49152,2048,0.0678979297687698,0.2002707692307692,0.3947003076923077,2.81267492101567,2.949585796059657,Time_Normal_1_098_features
51200,2048,0.0641761740805729,0.2067378461538461,0.409512,2.924141372470037,3.221411203027872,Time_Normal_1_098_features
53248,2048,0.0639941439926619,0.2044430769230769,0.4051310769230769,2.912598942360058,3.1947153936979795,Time_Normal_1_098_features
55296,2048,0.0648612252433601,0.2056947692307692,0.4049224615384615,2.9660197814298788,3.1713056368551253,Time_Normal_1_098_features
57344,2048,0.0666060764487326,0.2215495384615384,0.4124326153846154,2.960038649444621,3.326266164750616,Time_Normal_1_098_features
59392,2048,0.0630254857356695,0.1792006153846154,0.3519341538461538,2.5974091290348027,2.8433039950432737,Time_Normal_1_098_features
61440,2048,0.0623443725541902,0.2000621538461538,0.3784283076923076,2.72453769758979,3.208984959613625,Time_Normal_1_098_features
63488,2048,0.0673135294298456,0.2040258461538461,0.3865643076923076,2.7485011783264666,3.03097828741028,Time_Normal_1_098_features
65536,2048,0.0673697681472369,0.2059033846153846,0.3974123076923077,2.8345783720210465,3.056317251416473,Time_Normal_1_098_features
67584,2048,0.0676958754724654,0.2691138461538461,0.490872,3.1688320624464312,3.9753359310543233,Time_Normal_1_098_features
69632,2048,0.0653246080355889,0.2405335384615384,0.4504006153846154,2.968582407207598,3.68212754260712,Time_Normal_1_098_features
71680,2048,0.0670202473154833,0.205068923076923,0.4042966153846153,2.8017649157360056,3.059805525762172,Time_Normal_1_098_features
73728,2048,0.0697741050515055,0.2444972307692307,0.4397612307692308,3.20814168650115,3.504125643535587,Time_Normal_1_098_features
75776,2048,0.0647174348838063,0.1867107692307692,0.355272,2.59239228028307,2.885014981868557,Time_Normal_1_098_features
77824,2048,0.0655287606224101,0.2513815384615384,0.4647950769230768,2.9967908775517995,3.8362016322300514,Time_Normal_1_098_features
79872,2048,0.0675033119609072,0.213204923076923,0.4203599999999999,2.740593934280044,3.1584364808238816,Time_Normal_1_098_features
81920,2048,0.0671121265585979,0.2144566153846153,0.4199427692307692,2.905731068503961,3.195497242874136,Time_Normal_1_098_features
83968,2048,0.0662082268687154,0.2432455384615384,0.4408043076923076,3.1152518786550263,3.673947331956146,Time_Normal_1_098_features
86016,2048,0.062863309267512,0.1814953846153846,0.3615304615384615,2.7060766291808127,2.887143338893467,Time_Normal_1_098_features
88064,2048,0.0632615122652571,0.2090326153846154,0.3901107692307692,2.705979063907754,3.3042620686149906,Time_Normal_1_098_features
90112,2048,0.0659282260541997,0.200688,0.3994984615384615,2.91819811719652,3.044037614965856,Time_Normal_1_098_features
92160,2048,0.0668358140644444,0.2157083076923077,0.4287046153846153,2.9291186741390547,3.227435929501658,Time_Normal_1_098_features
94208,2048,0.0664638890883766,0.2025655384615384,0.4036707692307691,2.8082809296553948,3.047753317431372,Time_Normal_1_098_features
96256,2048,0.0700868929002219,0.2094498461538461,0.4053396923076923,2.6878484517038297,2.9884310387255675,Time_Normal_1_098_features
98304,2048,0.0665750581126106,0.2415766153846154,0.4293304615384615,2.967038821400942,3.6286354414045534,Time_Normal_1_098_features
100352,2048,0.0634172968089973,0.2215495384615384,0.4195255384615384,3.15482837271874,3.493519112385321,Time_Normal_1_098_features
102400,2048,0.063652891558921,0.1881710769230769,0.3744646153846153,2.822528296895955,2.956206266700987,Time_Normal_1_098_features
104448,2048,0.0678527789578311,0.2054861538461538,0.4009587692307692,2.70506863432202,3.028411761452394,Time_Normal_1_098_features
106496,2048,0.0667411588743087,0.2296855384615384,0.4228633846153846,2.824273815910518,3.441437672526117,Time_Normal_1_098_features
