mean,std,var,skewness,kurtosis,rms,peak_to_peak,crest_factor,impulse_factor,shape_factor,entropy,hist_bin_1,hist_bin_2,hist_bin_3,hist_bin_4,hist_bin_5,hist_bin_6,hist_bin_7,hist_bin_8,hist_bin_9,hist_bin_10,lpc_1,lpc_2,lpc_3,lpc_4,lpc_5,lpc_6,lpc_7,lpc_8,lpc_9,lpc_10,lpc_11,lpc_12,id,label,timestamp
4.7525798420068426e-05,0.7064935692152268,0.4991331633424705,-0.0008848498349228,-1.4983741814885474,0.7064935708137563,2.0447684912947106,1.4493045602658254,1.6104862689125767,1.1112131384014885,10.789927737479886,0.9647332978761568,0.4441593896162504,0.3892364543411227,0.3271496579431522,0.3247617042355379,0.3104339819898524,0.3438653338964519,0.3605810098497517,0.4871425563533069,0.9384658070924,0.9458140700770926,0.3360150318379027,-0.0213985149709052,-0.1447526674761421,-0.0966275823858907,-0.0892575971386853,-0.048724074420557,-0.0098204432541614,0.0136598572007721,0.01563271521404,-0.000419908782228,-0.0003173844524476,0,0,
8.848719261787819e-06,0.7068970980821376,0.4997035072769472,-7.163388662226832e-05,-1.4987276800361833,0.7068970981375203,2.051710570521979,1.4553187753430294,1.6168981028940226,1.1110267594210812,10.79063565173939,0.9471898243939872,0.4521760468212499,0.3712603331795525,0.3403219720812567,0.3212829806361514,0.3236628545667892,0.3331823502893422,0.3688804592489146,0.4783546600582699,0.9376703286714344,0.9583199065569032,0.311915609304907,-0.0425646953579273,-0.0869106432445097,-0.1436194822446626,-0.0465031600146961,-0.0497061689563232,-0.0141353309001476,-0.0235165101660581,0.01079890692894,0.0398484754532508,-0.014506062974424,1,0,
-8.001650316856977e-05,0.7068639043963852,0.499656579338502,0.0006044825258826,-1.4982780237527,0.7068639089252915,2.047753317521451,1.454596403861719,1.6164803048626626,1.1112912836654676,10.78984952523214,0.946635781719198,0.4625877623514468,0.3672088422789837,0.3290572742499982,0.3409796392590561,0.3171349092409405,0.3242883282463749,0.3695933152807953,0.4625877623514471,0.9633270927318774,0.951168387291234,0.3116371986468034,0.0109587116036777,-0.1662060704145263,-0.1086735121279738,-0.0794074307160741,-0.0044709982821973,-0.0208295985434537,-0.0056424482302013,0.0051120608473966,-0.0187652527006146,0.0249886194102675,2,0,
-0.0001340014066069,0.7065653570460377,0.4992346037775947,-0.0009138112782892,-1.499033751885288,0.706565369752843,2.0395122006394404,1.4499799474355786,1.6106845687347913,1.1108323060490826,10.791174875784003,0.9456726647162486,0.4788216023879739,0.3615103098029205,0.3351751216715817,0.3255986896238222,0.316022257576063,0.3327810136596417,0.3734808498626198,0.4596687382924552,0.9744019608595256,0.9595153175972272,0.32982284272536,-0.0336198906181053,-0.1286184567440393,-0.1229413272123701,-0.1010671457655694,-0.0456429837560777,0.0363195974675314,0.0108027152337921,-0.0186141018595023,0.0322957250918576,-0.0197962165556712,3,0,
-5.509642010681406e-05,0.7069826789537071,0.4998245083405606,0.0008456834310609,-1.4998101482366903,0.7069826811005883,2.045094129816193,1.4521482629356033,1.613323237481156,1.110990715383103,10.790287913997124,0.933541229063912,0.4751271216974896,0.3772366091869514,0.3294851396696159,0.3247099927178823,0.3151596988144151,0.3461981540006836,0.3605235948558839,0.4703519747457558,0.9574169638225812,0.9354274918256308,0.3263942669332424,0.0251211127248785,-0.1586125066535078,-0.1320185174599549,-0.0701371559736778,-0.0579075919073034,0.0522713984861286,-0.0193130990412399,-0.0242814276528256,0.0008055831327284,0.0228397313871812,4,0,
-0.0003615189206978,0.7072069746369642,0.5001417049751677,-0.0003591688120337,-1.4984543038433933,0.7072070670398435,2.043862584981872,1.4461427461887528,1.6066362018923948,1.110980369072566,10.790695495183968,0.9603828747701306,0.451523291869539,0.3750749038281353,0.3440177461863154,0.3105715764182014,0.3272946613022582,0.336850709807434,0.3750749038281353,0.4491342797432449,0.9627718868964248,0.9670029175613442,0.281006865047975,0.0021916670552141,-0.1024103020994209,-0.1347133880204006,-0.0859118702285317,-0.052766384256737,-0.0118133244995725,0.0336767225443861,-0.0182215683185721,0.0441787562459327,-0.0240974106240882,5,0,
3.1854653345132766e-06,0.7072366935952966,0.5001837407676075,-0.0002092121937827,-1.498857082600002,0.7072366936024705,2.041550258290444,1.4460232410843952,1.606523772247571,1.1109944339779865,10.790589322463251,0.9495120458720636,0.4711684459365152,0.363541135951017,0.3396239559542394,0.3180984939571397,0.3252736479561731,0.3372322379545615,0.3707162899500503,0.456818137938449,0.9662540718698084,0.9499396816458906,0.3258311757392216,-0.0070213090151173,-0.1515744387033311,-0.1052223980013889,-0.0936052510440339,-0.014992824783499,-0.0654369225140046,-0.0044886269592558,0.079683773755172,0.041689940719507,-0.0599057267715109,6,0,
-3.616797465827784e-05,0.7071737046342753,0.5000946485261653,-0.0006022441606477,-1.498981291332585,0.70717370555917,2.043932400366248,1.4472628155110006,1.6076932590174675,1.1108509399861988,10.79099076862566,0.953183279031586,0.4730082437299599,0.3678953006788575,0.3272834817727501,0.3344502733444161,0.3177277596771951,0.3320613428205276,0.3631174396310802,0.4658414521582936,0.9579611400793648,0.930852900727886,0.3447676113519649,-0.0032404418018152,-0.1371385156110833,-0.1283099003696619,-0.0855620802857936,-0.0240363166679825,-2.228123496628638e-05,-0.0425902832453201,0.0387136193605605,0.0074537211261975,-0.0001645180211741,7,0,
-0.0001125666571924,0.706942827167268,0.4997681608832497,0.0016938698938062,-1.4987571475544386,0.7069428361292743,2.049827009178739,1.4610382371229511,1.6231634879691708,1.110965782227215,10.79065650220148,0.93138576033541,0.4597377282474021,0.3763656013631582,0.3334885075369754,0.3191961429282479,0.3334885075369758,0.3311064467688542,0.366837358290673,0.4573556674792806,0.96949873262535,0.9631519139947252,0.302468103221627,-0.0421255711611575,-0.0965331982878962,-0.0872942560451736,-0.0919180915432598,-0.0616005224698399,-0.0325541079220332,0.036855884474406,-0.0057116523415598,0.0206306767328623,-0.0054543924466666,8,0,
-7.110583723162704e-05,0.7069298977509243,0.4997498803341322,-0.0011432790972158,-1.497460004996978,0.7069299013269791,2.0420730316090747,1.445095510260454,1.6062517385151591,1.1115194304531884,10.7893603689999,0.9588333924360996,0.4590922976252649,0.3610569632365364,0.3443192232189485,0.3227992717677642,0.3227992717677646,0.3347548003517555,0.3658391746701327,0.4734389319260542,0.9540511810025032,0.9719116141857316,0.2906904202836788,-0.0367493265107933,-0.1230456779184268,-0.1000506381823495,-0.0128503628593339,-0.0722535885989979,-0.0554109420677714,0.0064021235989091,0.0069643959964002,0.0281165536664447,-0.0035597081792957,9,0,
0.0001335679315127,0.7071433349199036,0.5000516961216429,0.0004996561536541,-1.4987680826130083,0.7071433475343137,2.049062556738001,1.4511139935759545,1.6122333792461263,1.1110315153622967,10.79041454679329,0.9507968319920392,0.4599092445475279,0.371740114763805,0.340761771866821,0.3193152267842938,0.3169322773306801,0.340761771866821,0.3717401147638048,0.4646751434547559,0.9436479836311968,0.9785650036994472,0.2761646472766305,-0.0016115482279263,-0.1000627578891696,-0.1579943655487616,-0.0657023401091852,-0.0576724087777796,0.0020659845371475,0.0228923886293541,-0.015653911168729,0.0406365273345677,-0.0205257769120381,10,0,
-2.7001802070746213e-05,0.7071815903307677,0.5001058017027536,-0.0001391969275085,-1.498945825703944,0.7071815908462628,2.040831052169992,1.4467158645414495,1.6075203485990768,1.111151393303201,10.79011234467286,0.9522392228076152,0.464156807097179,0.3684543726441524,0.3421362031695703,0.3229957162789649,0.3229957162789645,0.3229957162789649,0.3756320552281296,0.4617642462358536,0.9665945879755702,0.9486358285730097,0.3185177323566541,0.0044212780210623,-0.1443049626130041,-0.126176868213139,-0.0857642902901992,-0.0274982806067841,0.0198047241898575,-0.0340267513828032,0.0315702072705233,-0.0227969351890481,0.0180067069122208,11,0,
