start_sample,window_length,rms,peak,peak_to_peak,kurtosis,crest_factor
0,2048,0.671590084123132,3.547583233532934,6.520958283433133,7.687039490939582,5.282363926143411
2048,2048,0.6883959933614409,3.325047105788423,6.407659780439122,7.735081912996409,4.830137214406744
4096,2048,0.6808161356213618,3.256012175648703,6.407659780439122,7.429104865290266,4.782513229760998
6144,2048,0.675990856396638,3.4923552894211576,6.704916067864271,7.8535122165655205,5.166275928689263
8192,2048,0.6869761994609073,3.2093120758483034,6.241975948103793,7.358079714564154,4.6716495831472535
10240,2048,0.6620774087416107,3.132155389221557,6.209895009980039,7.455220416010087,4.730799371587098
12288,2048,0.6583411712740721,3.0988561876247505,6.105124351297405,7.6135779480578325,4.707067281881977
14336,2048,0.6665371530045914,3.239362574850299,6.120961776447105,7.236691334905729,4.859988014536266
16384,2048,0.6363783821580785,3.366874151696607,6.137205289421158,7.571128637166345,5.290679642940752
18432,2048,0.6447093566092533,3.1666728542914173,5.888679540918163,7.465826958481639,4.911783615086835
20480,2048,0.6457284030373642,2.9896185628742518,5.757107085828343,7.325018154164562,4.629839029547275
22528,2048,0.6371467473845445,3.0623082834331337,5.942689221556886,7.714698459475393,4.8062841033073616
24576,2048,0.6489976055679385,3.3295140718562872,6.511212175648702,7.708233119561249,5.13024091812711
26624,2048,0.6547184837575765,3.3144888223552895,6.419436327345309,8.02411206948722,5.062464104156081
28672,2048,0.6645409079278944,3.248702594810379,6.136799201596807,7.876604308112697,4.888642002394214
30720,2048,0.6836665948394228,3.283626147704591,6.503496506986028,7.624032510251272,4.802964153120623
32768,2048,0.6905752929414614,3.2267738522954095,6.334157884231537,7.755767712162796,4.672588036775107
34816,2048,0.6984587752265806,3.4253507984031937,6.409690219560878,7.582334311185105,4.9041560073278525
36864,2048,0.6979299023667727,3.2328651696606787,6.3674570858283435,7.361777416888889,4.632077173786326
38912,2048,0.6934595207834942,3.2600730538922154,6.497405189620759,7.679391789542511,4.70117282434045
40960,2048,0.703793876281691,3.206063373253493,6.393852794411178,7.557792280618451,4.555401064566413
43008,2048,0.6905937260646248,3.347788023952096,6.4182180638722555,7.613739928692283,4.8476953925207935
45056,2048,0.6859922653777667,3.4635230538922155,6.545323552894212,7.720779338061049,5.048924351909203
47104,2048,0.69901685226551,3.211748602794411,6.245630738522953,7.23515432699258,4.594665482499535
49152,2048,0.6634576398483617,3.2353016966067867,6.222889820359281,7.75440408710521,4.876425414803217
51200,2048,0.6656638098002036,3.3006818363273456,6.367863173652696,7.648625463616447,4.958481725652284
53248,2048,0.674875610567059,3.1577389221556884,6.214768063872255,7.290210572683549,4.678993984532562
55296,2048,0.6470736397474831,3.241799101796407,6.261062075848303,7.567193995258379,5.009938440787808
57344,2048,0.6647044587869994,3.2015964071856287,6.213143712574849,7.299332433712977,4.816571281954865
59392,2048,0.6541810315312455,3.278347005988024,6.284615169660679,7.210444936710335,5.011375824073293
61440,2048,0.643512893637297,3.466771756487026,6.524613073852295,7.6213255583274115,5.38726075383909
63488,2048,0.6490868147839068,3.3270775449101797,6.46979121756487,7.676552743983935,5.125782051223303
65536,2048,0.6482062614057861,3.3307323353293414,6.410502395209582,7.956704019827716,5.138383464702632
67584,2048,0.6425096385636275,3.1573328343313376,6.2659351297405195,7.86902673271359,4.9140629880430255
69632,2048,0.667766445847229,3.3408845309381237,6.365426646706586,7.261305189028263,5.003073382482362
71680,2048,0.6580939934741573,3.1975355289421157,6.2740568862275445,7.82369648152513,4.858782424159629
73728,2048,0.6730943290305571,3.4087011976047905,6.692733433133732,8.130380209627049,5.064225102756702
75776,2048,0.6848497043190974,3.093983133732535,6.1002512974051895,7.179022067346007,4.517754938368803
77824,2048,0.680135813585149,3.5041318363273453,6.67933253493014,8.299530700835255,5.152106044601777
79872,2048,0.6940223937859505,3.3595645708582835,6.375984930139721,7.4705537736775485,4.840714940805779
81920,2048,0.6839205159425984,3.630425149700599,6.756895309381237,7.925922256028514,5.308255952362735
83968,2048,0.6907350046093674,3.301900099800399,6.5477600798403195,8.020168860146653,4.780270404368674
86016,2048,0.7148042964872742,3.430223852295409,6.666743812375249,7.287512414958079,4.798829370706895
88064,2048,0.683812801434022,3.278347005988024,6.3313152694610775,7.792797588948436,4.794217070970618
90112,2048,0.6918926958097364,3.346163672654691,6.437710279441118,7.6189199894691875,4.83624656383136
92160,2048,0.6769307564249615,3.1386527944111773,6.261874251497005,7.281834280042961,4.6365935727053404
94208,2048,0.6655370769573957,3.2214947105788423,6.023906786427146,7.675100113617003,4.840443638845121
96256,2048,0.6698897538562383,3.192256387225549,6.15669750499002,7.521041049082046,4.76534589287935
98304,2048,0.6498629634509926,3.052968263473054,6.070606886227544,7.554290967572761,4.697864680972216
100352,2048,0.641337048483395,3.227586027944112,6.358117065868264,7.808820222173889,5.0325893936293395
102400,2048,0.6427562014756237,3.016014271457086,5.995074550898204,7.76514047267725,4.692314542478631
